_key,title,price,listed_price,link
Realme 6i - 4GB/128GB - Pin 5000 mAh - Sạc nhanh 18W - Chính hãng,Realme 6i - 4GB/128GB - Pin 5000 mAh - Sạc nhanh 18W - Chính hãng,3990000,4990000,https://hoanghamobile.com/dien-thoai-di-dong/realme-6i-4gb-128gb-pin-5000-mah-sac-nhanh-18w-chinh-hang
OPPO A53 - 4GB/128GB - Chính hãng,OPPO A53 - 4GB/128GB - Chính hãng,3990000,3990000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a53-4gb-128gb-chinh-hang
Realme 7 - Chính hãng,Realme 7 - Chính hãng,5890000,5890000,https://hoanghamobile.com/dien-thoai-di-dong/realme-7-chinh-hang
Realme 7 pro - Chính hãng,Realme 7 pro - Chính hãng,7450000,7450000,https://hoanghamobile.com/dien-thoai-di-dong/realme-7-pro-chinh-hang
Realme C11 - 2GB/32GB - Chính hãng,Realme C11 - 2GB/32GB - Chính hãng,2450000,2690000,https://hoanghamobile.com/dien-thoai-di-dong/realme-c11-2gb-32gb-chinh-hang
Realme C3 - 3GB/32GB - Chính hãng,Realme C3 - 3GB/32GB - Chính hãng,2690000,2990000,https://hoanghamobile.com/dien-thoai-di-dong/realme-c3-3gb-32gb-chinh-hang
OPPO Reno4 - Chính Hãng,OPPO Reno4 - Chính Hãng,7150000,8490000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno4-chinh-hang
Realme 7i - Chính hãng,Realme 7i - Chính hãng,5250000,6290000,https://hoanghamobile.com/dien-thoai-di-dong/realme-7i-chinh-hang
OPPO Reno4 Pro - Chính Hãng,OPPO Reno4 Pro - Chính Hãng,10750000,11990000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno4-pro-chinh-hang
Xiaomi Mi Note 10 - 6GB/128GB - Chính Hãng DGW,Xiaomi Mi Note 10 - 6GB/128GB - Chính Hãng DGW,8990000,12490000,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-mi-note-10-6gb-128gb-chinh-hang-dgw
Xiaomi Poco X3 6GB/64GB - Chính hãng DGW,Xiaomi Poco X3 6GB/64GB - Chính hãng DGW,5390000,6690000,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-poco-x3-6gb-64gb-chinh-hang-dgg
Xiaomi Poco X3 6GB/128GB - Chính hãng DGW,Xiaomi Poco X3 6GB/128GB - Chính hãng DGW,5740000,6990000,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-poco-x3-6gb-128gb-chinh-hang-dgw
