_key,id,label,now_price,old_price,brand,currency,description,link
94068,94068,Điện thoại Realme C3 Xanh,2790000,2990000,Realme,VND,"<p>Chipset MediaTek Helio G70 xử lý mượt mà mọi tác vụ</p><p>Xử lý hình ảnh mạnh mẽ, <a href=""https://www.nguyenkim.com/10-game-vui-nhon-ban-nhat-dinh-phai-thu-tren-dien-thoai.html"" target=""_blank"" rel=""noopener noreferrer"">chơi game</a> mượt mà ổn định</p><p>Màn hình tràn viền 6.5"" trên tấm nền IPS chịu lực cực kì tốt</p><p>Bộ 3 camera sau 12MP AI bắt trọn khoảnh khắc cuộc sống</p><p>Dung lượng pin lớn 5000 mAh cho thời gian sử dụng cả ngày</p><p>Cảm biến vân tay ở mặt lưng mở khóa nhanh, bảo mật tốt</p>",https://www.nguyenkim.com/dien-thoai-realme-c3-xanh.html
94311,94311,Điện thoại Vsmart Active 3 (6GB/64GB) Đen Thạch Anh,3190000,3990000,Vsmart,VND,"<p>Thiết kế mặt lưng cá tính với hiệu ứng gradient tuyệt đẹp</p><p>Màn hình 6.39 inch AMOLED cho trải nghiệm xem đã mắt</p><p>Mở khóa nhanh chóng với cảm biến vân tay ở mặt lưng</p><p>Chip 8 nhân và RAM 6GB cho hiệu năng ổn định, mượt mà</p><p>Dung lượng pin 4020mAh cho trải nghiệm cả ngày dài</p><p>Hệ thống 3 camera 48MP bắt trọn mọi khoảnh khắc</p><p>Selfie xinh lung linh với Camera selfie 16MP tích hợp AI</p>",https://www.nguyenkim.com/vsmart-active-3-6gb-64gb-den-thach-anh.html
94355,94355,Điện thoại OPPO A12 4GB/64GB Xanh,3290000,3690000,OPPO,VND,"<p>Màn hình giọt nước rộng 6.2 inch giảm ánh sáng xanh, bảo vệ mắt</p><p>Bộ vi xử lý MediaTek P35 8 nhân trải nghiệm tác vụ mượt mà</p><p>Bộ nhớ trong đến 64GB thoải mái cài đặt những ứng dụng</p><p>Bộ đôi camera sau kết hợp AI cho bức ảnh sắc nét, chuyên nghiệp</p><p>Dung lượng pin lớn 4230 mAh có thể chơi game, lướt web cả ngày</p><p>Âm thanh Dirac đem đến chất lượng âm thanh sống động, chi tiết</p><p>Bảo mật an toàn, mở khóa nhanh bằng vân tay và khuôn mặt</p>",https://www.nguyenkim.com/dien-thoai-oppo-a12-4gb-64gb-xanh.html
94420,94420,Điện thoại Samsung Galaxy A11 Xanh,3190000,3190000,,,,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a11-xanh.html
94421,94421,Điện thoại Samsung Galaxy A11 Đen,3190000,3190000,,,,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a11-den.html
94426,94426,Điện thoại Samsung Galaxy A11 Trắng,3190000,3190000,,,,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a11-trang.html
94520,94520,Điện thoại Vivo Y50 Đen,5090000,6290000,Vivo,VND,"<p>Màn hình sát viền 6.53"" Full HD+ màu sắc hình ảnh trung thực</p><p>Chip Qualcomm Snapdragon 665 hiệu năng xử lý mạnh mẽ</p><p>Dung lượng pin 5000 mAh cho thời gian sử dụng cả ngày</p><p>Camera selfie cùng công nghệ làm đẹp chụp đêm ấn tượng</p><p>4 camera sau chống rung quay phim, chụp ảnh chuyên nghiệp</p><p>Cảm biến vân tay mặt lưng mở khóa nhanh, bảo mật cao</p>",https://www.nguyenkim.com/dien-thoai-vivo-y50-den.html
94871,94871,Điện thoại OPPO A12 3GB/32GB Đen,2690000,2990000,OPPO,VND,"<p>Màn hình giọt nước rộng 6.2"" giảm ánh sáng xanh, bảo vệ mắt</p><p>Bộ vi xử lý MediaTek P35 8 nhân trải nghiệm tác vụ mượt mà</p><p>Bộ nhớ trong đến 32GB đủ lưu trữ những hình ảnh, video</p><p>Camera sau kép kết hợp AI cho bức ảnh sắc nét, chuyên nghiệp</p><p>Dung lượng pin 4230 mAh có thể chơi game, lướt web cả ngày</p><p>Âm thanh Dirac đem đến chất lượng âm thanh sống động</p><p>Bảo mật an toàn, mở khóa nhanh bằng vân tay và khuôn mặt</p>",https://www.nguyenkim.com/dien-thoai-oppo-a12-3gb-32gb-den.html
94876,94876,Điện thoại OPPO A12 3GB/32GB Xanh,2690000,2990000,OPPO,VND,"<p>Màn hình giọt nước rộng 6.2"" giảm ánh sáng xanh, bảo vệ mắt</p><p>Bộ vi xử lý MediaTek P35 8 nhân trải nghiệm tác vụ mượt mà</p><p>Bộ nhớ trong đến 32GB đủ lưu trữ những hình ảnh, video</p><p>Camera sau kép kết hợp AI cho bức ảnh sắc nét, chuyên nghiệp</p><p>Dung lượng pin 4230 mAh có thể chơi game, lướt web cả ngày</p><p>Âm thanh Dirac đem đến chất lượng âm thanh sống động</p><p>Bảo mật an toàn, mở khóa nhanh bằng vân tay và khuôn mặt</p>",https://www.nguyenkim.com/dien-thoai-oppo-a12-3gb-32gb-xanh.html
94881,94881,Điện thoại Samsung Galaxy A21s 3GB/32GB Xanh,3690000,4690000,Samsung,VND,"<p>Màn hình vô cực 6.5"" HD+ trải nghiệm hình ảnh sống động</p><p>Bộ 4 camera sau đến 48MP trải nghiệm chụp ảnh đa dạng</p><p>Camera trước 13MP chụp selfie đẹp tự nhiên và rõ nét</p><p>Bảo mật vân tay, nhận diện khuôn mặt nhanh, chính xác</p><p>Dung lượng pin cực lớn 5000mAh, hỗ trợ sạc nhanh 15W</p><p>Bộ vi xử lý 8 nhân, RAM 3GB cho hiệu năng mượt mà ổn định</p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a21s-xanh.html
